student_id,is_after,RA,is_lissa,S3_ confidence_avg,S3_ success_avg,S3_ gaze_0_x_avg,S3_ gaze_0_y_avg,S3_ gaze_0_z_avg,S3_ gaze_1_x_avg,S3_ gaze_1_y_avg,S3_ gaze_1_z_avg,S3_ pose_Tx_avg,S3_ pose_Ty_avg,S3_ pose_Tz_avg,S3_ pose_Rx_avg,S3_ pose_Ry_avg,S3_ pose_Rz_avg,S3_ AU01_r_avg,S3_ AU02_r_avg,S3_ AU04_r_avg,S3_ AU05_r_avg,S3_ AU06_r_avg,S3_ AU07_r_avg,S3_ AU09_r_avg,S3_ AU10_r_avg,S3_ AU12_r_avg,S3_ AU14_r_avg,S3_ AU15_r_avg,S3_ AU17_r_avg,S3_ AU20_r_avg,S3_ AU23_r_avg,S3_ AU25_r_avg,S3_ AU26_r_avg,S3_ AU45_r_avg,S3_ AU01_c_avg,S3_ AU02_c_avg,S3_ AU04_c_avg,S3_ AU05_c_avg,S3_ AU06_c_avg,S3_ AU07_c_avg,S3_ AU09_c_avg,S3_ AU10_c_avg,S3_ AU12_c_avg,S3_ AU14_c_avg,S3_ AU15_c_avg,S3_ AU17_c_avg,S3_ AU20_c_avg,S3_ AU23_c_avg,S3_ AU25_c_avg,S3_ AU26_c_avg,S3_ AU28_c_avg,S3_ AU45_c_avg,S3_abs_d_pose_Rx_avg,S3_ gaze_0_x_var,S3_ gaze_0_y_var,S3_ gaze_0_z_var,S3_ gaze_1_x_var,S3_ gaze_1_y_var,S3_ gaze_1_z_var,S3_ pose_Tx_var,S3_ pose_Ty_var,S3_ pose_Tz_var,S3_ pose_Rx_var,S3_ pose_Ry_var,S3_ pose_Rz_var,S3_ AU01_r_var,S3_ AU02_r_var,S3_ AU04_r_var,S3_ AU05_r_var,S3_ AU06_r_var,S3_ AU07_r_var,S3_ AU09_r_var,S3_ AU10_r_var,S3_ AU12_r_var,S3_ AU14_r_var,S3_ AU15_r_var,S3_ AU17_r_var,S3_ AU20_r_var,S3_ AU23_r_var,S3_ AU25_r_var,S3_ AU26_r_var,S3_ AU45_r_var,S3_ AU01_c_var,S3_ AU02_c_var,S3_ AU04_c_var,S3_ AU05_c_var,S3_ AU06_c_var,S3_ AU07_c_var,S3_ AU09_c_var,S3_ AU10_c_var,S3_ AU12_c_var,S3_ AU14_c_var,S3_ AU15_c_var,S3_ AU17_c_var,S3_ AU20_c_var,S3_ AU23_c_var,S3_ AU25_c_var,S3_ AU26_c_var,S3_ AU28_c_var,S3_ AU45_c_var,S3_abs_d_pose_Rx_var,S3_Angry_avg,S3_ Happy_avg,S3_ MouthOpen_avg,S3_ Sad_avg,S3_ Surprised_avg,S3_Angry_var,S3_ Happy_var,S3_ MouthOpen_var,S3_ Sad_var,S3_ Surprised_var,SubjRating,Interact,csrsconv,csrskill,csrscomp,csrsOverall,csrsappr,csrseffect,csvoclcn,csnoddin,csgestur,cshumor,cssmilin,csquestn,csstartn,cspostur,cseyecon,Raliked,Raattrac,Rayessin,Raconect,Racommon,Rasimlar,Rasmooth,Ra_avg
11,0,4.2,1,0.970072897,0.979440055,0.126678747,0.220091492,-0.943083586,-0.031832545,0.22974535,-0.949233034,-76.54464678,-141.1890841,1029.311223,0.038831697,0.061860003,-0.058545045,0.387391858,0.175039273,0.042114025,0.089315539,0.36608444,0.990193302,0.114612623,1.157707484,0.778097026,0.30047892,0.203723208,0.652203432,0.131711039,0.239348733,0.775757088,0.521127851,0.14337405,0.202450832,0.206291819,0.49351968,0.416587599,0.499655963,0.597572527,0.027371218,0.927640177,0.721380624,0.588820222,0.187903448,0.314951378,0.132065493,0.691425755,0.335795891,0.292424958,0.055820576,0.189092882,0,0.00068675,0.00052253,6.99E-05,0.000941392,0.000280291,0.000110392,683.5277805,112.2491751,1107.448101,0.022282996,0.019345634,0.025534475,0.493828812,0.229562739,0.028885089,0.077101787,0.178198874,0.317029156,0.058833825,0.550734591,0.243317495,0.163530216,0.16865881,0.559786469,0.058525513,0.163296206,0.582056277,0.366910568,0.060298107,0.158539689,0.152280726,0.15827163,0.202559172,0.21100947,0.192742937,0.026085577,0.060339112,0.183242524,0.167395378,0.149549312,0.205261194,0.105113149,0.100957894,0.212635999,0.198541321,0.040729441,0.149980431,0,5.325790866,20.16228079,15.83911446,0.375070151,5.520368613,210.8307301,503.7560131,470.7534038,18.15371219,213.8111403,111,3.4,5.2,5,5.2,5.15,5.8,5.2,4.8,4.4,4.2,4.8,5.4,5.8,5.2,nan,nan,5,1.2,3.2,4.2,4.2,3.4,5.4,3.8
11,1,4.2,1,0.967512463,0.996442468,0.128936493,0.138505218,-0.973018579,-0.042527503,0.13869124,-0.980995737,-37.661214,-65.77740289,1041.60422,0.013627214,0.020235277,-0.035084186,0.391125767,0.166354512,0.046570111,0.081364499,0.525199428,1.008242504,0.132765441,1.212906935,1.061615506,0.488592254,0.289821104,0.561337548,0.171814739,0.19878569,0.912469662,0.555902445,0.140582277,0.239203968,0.223866965,0.24933933,0.335319926,0.670091227,0.613299654,0.021154823,0.940734501,0.857646635,0.755752299,0.262320411,0.355269467,0.144829214,0.769157512,0.379735349,0.335306309,0.034271705,0.152313557,0,0.00097622,0.000394958,2.40E-05,0.001064943,0.000319595,2.87E-05,1019.956772,127.0283374,2297.259684,0.013772389,0.018729187,0.014682859,0.422863271,0.148014624,0.035995372,0.05084416,0.202482621,0.312025557,0.053797234,0.505088571,0.290830265,0.246535889,0.164058439,0.380660086,0.073964484,0.116056979,0.694010637,0.324140789,0.044950366,0.170793772,0.164205574,0.167781548,0.194434638,0.205606353,0.217624929,0.020541619,0.051853751,0.117102461,0.150026465,0.155573112,0.224245959,0.113320186,0.111089534,0.220636279,0.196012515,0.030370104,0.127457347,0,4.430719042,33.30401681,24.15975847,0.440908299,2.872907242,195.2957836,773.7113414,762.0273521,25.71264457,112.3496509,112,3.4,5.6,5.6,4.6,5.3,5.4,5.4,5.2,5,4.6,5.2,5.6,5.8,5.8,nan,nan,4.8,1.4,3,4.4,4.6,3.8,5.6,3.942857143
12,0,4.2,0,0.911463503,0.943413007,0.099342609,0.281872196,-0.924067147,-0.058848731,0.273187974,-0.932601959,-41.65600754,-208.6775745,1033.631264,0.078762232,0.064240338,0.017259257,0.343736518,0.119431115,0.293018446,0.082332553,1.360423311,0.415293114,0.099566085,1.338073642,1.444942701,0.775198114,0.124106152,0.585235436,0.158085546,0.224815883,0.646742779,0.442965208,0.141376022,0.304226684,0.302776219,0.381284087,0.975513053,0.831577662,0.37566814,0.063995556,0.923528105,0.865285015,0.70001888,0.172789445,0.314864447,0.096636025,0.237895835,0.363198721,0.233163806,0.18621649,0.09268601,0,0.001346499,0.000519568,9.39E-05,0.001049409,0.000409013,9.22E-05,1339.734525,152.6277226,1775.199144,0.00801741,0.01442865,0.019219833,0.287717514,0.095104344,0.094308446,0.040330844,0.304805809,0.273900837,0.032482752,0.279864855,0.265192971,0.151870445,0.073401306,0.420872014,0.097281046,0.154484382,0.45816516,0.25532138,0.034321554,0.210030799,0.209637784,0.172768855,0.023579105,0.11830352,0.176284874,0.057563423,0.052806899,0.087010542,0.086075608,0.133043031,0.206594529,0.083790006,0.166512915,0.222771065,0.176648698,0.045767586,0.080933086,0,9.875503611,58.87002948,35.35945758,0.335129466,0.580125544,458.4965142,721.7041436,917.6459522,14.31180598,22.78234432,121,3.2,5,5.2,5.8,5.35,5.6,5.4,5.2,5,5.2,5.4,5.5,5.2,4.6,nan,nan,4.6,3,3.8,4.4,3.8,3.6,5.2,4.057142857
12,1,4.2,0,0.915640628,0.979766537,0.059776648,0.201762297,-0.969481072,-0.110965704,0.185106798,-0.969182124,33.24380816,-136.4470339,1100.923596,0.043103167,0.050627017,0.061554069,0.336013912,0.119059303,0.149163495,0.096275128,1.183553855,0.238767294,0.098771404,1.009938186,1.506731187,0.70676175,0.128366277,0.46777792,0.162886988,0.17670759,0.789023242,0.454082177,0.105057973,0.247108721,0.267425966,0.08656938,0.946283668,0.882445273,0.267226748,0.025497364,0.900135061,0.916242693,0.707580266,0.127408454,0.234717568,0.123591242,0.263989334,0.449908313,0.298867575,0.07990211,0.104609889,0,0.003746517,0.000436327,2.68E-05,0.00317622,0.000286504,9.82E-05,3188.800209,132.2247505,1929.687342,0.007081224,0.020056668,0.018923361,0.316599878,0.093549289,0.047597574,0.061938881,0.294556433,0.152504538,0.026600118,0.251095192,0.330443975,0.196618304,0.059231007,0.289201412,0.077483625,0.098807306,0.494849456,0.206715888,0.022847808,0.182576645,0.192570207,0.067856343,0.049870759,0.094434243,0.181334893,0.024521535,0.078704421,0.072127161,0.111606534,0.107609003,0.178189815,0.09017094,0.187443006,0.241005603,0.199632937,0.051274412,0.089418929,0,7.836265066,51.99200331,33.9803974,0.327929247,0.516513053,356.3307333,816.5198045,924.5794142,11.68634186,21.30414252,122,3,5.8,5.4,5.8,5.65,5.8,5.6,5.4,5,4.4,5.4,5.8,5.2,5,nan,nan,5,2.2,3.4,4.6,4.2,3.8,5.4,4.085714286
13,0,4.2,1,0.937876235,0.940300167,0.157015756,0.283375774,-0.879320233,0.025207848,0.300314657,-0.892156337,-139.0748129,-137.321087,821.8479266,0.234492099,0.081920605,-0.139881129,0.250482822,0.107698947,0.304134848,0.060851107,0.311440505,0.395648036,0.129015708,1.173203881,0.53588083,0.253312816,0.152036942,0.458335726,0.219930696,0.155657524,0.646638745,0.412602452,0.210749433,0.151498629,0.238449892,0.744389077,0.876468604,0.40073532,0.528614694,0.036111365,0.813001502,0.399154347,0.260841442,0.170728763,0.304228037,0.177764654,0.108306364,0.276512642,0.131299598,0.182192707,0.139665235,0,0.00107603,0.000687657,0.000202129,0.000835626,0.00048343,0.000142907,4106.548814,272.8942684,11174.76408,0.015556054,0.005885816,0.012114616,0.178198648,0.100807896,0.10168997,0.022943672,0.184201652,0.231657416,0.042081233,0.398217788,0.362890325,0.178270191,0.090204602,0.262165444,0.151823638,0.080849973,0.578166235,0.275504769,0.100127306,0.119832258,0.173455757,0.119139522,0.074183353,0.218136583,0.14987315,0.033142495,0.082093155,0.213887926,0.137220444,0.131507422,0.170482852,0.127635627,0.07286177,0.196200203,0.112128397,0.063600982,0.114912784,0,5.340701218,30.5621697,10.24579443,2.160656744,9.089987914,247.1382323,577.6572608,302.4860588,93.58148228,340.7432283,131,3,4.2,4.4,4.4,4.45,5,4.8,3.4,3.6,3.4,3.8,4.8,3.8,3.2,nan,nan,4.6,2.6,3.2,3.8,4.2,2.8,4.6,3.685714286
13,1,4.2,1,0.950496795,0.981878822,0.051428768,0.218057762,-0.948844085,-0.102665508,0.226859292,-0.942723345,5.886692427,-83.68812381,800.2662878,0.25745423,0.082096269,-0.074507079,0.246870064,0.133724806,0.321320558,0.059613056,0.321779405,0.327491356,0.129648156,1.088433004,0.696202195,0.424415365,0.248733577,0.533544847,0.195984713,0.262580972,0.846938134,0.391504108,0.192914472,0.150881403,0.192652807,0.710556524,0.826029647,0.355424551,0.522864158,0.054617604,0.754666238,0.452298646,0.362408458,0.185614448,0.311004288,0.104203206,0.094507946,0.341738296,0.153962916,0.078083116,0.232249474,0,0.003075915,0.000382325,0.000130166,0.003001536,0.000349821,0.000163085,1026.573431,325.8181142,7225.730453,0.013797478,0.008565091,0.018656382,0.188562008,0.127743013,0.129282264,0.031905064,0.193094489,0.220816185,0.035303524,0.438570553,0.460633212,0.26083445,0.169147466,0.329356091,0.147488334,0.149149801,0.816643065,0.240936552,0.083233299,0.127526573,0.151766443,0.145939628,0.069828776,0.209796449,0.132487096,0.049504316,0.104026801,0.202898356,0.184908863,0.142559232,0.180183481,0.085493647,0.0762404,0.221476609,0.129169081,0.062977977,0.176237838,0,5.592299666,29.862213,8.649861923,2.523263173,8.217294006,237.0458971,868.2250455,300.5649567,112.9335874,291.0479803,132,3.2,5,4.6,5.25,5.0125,5.2,5.2,4,4.4,4,5.2,5,5.2,4.8,nan,nan,5,2.6,2.6,4.6,4.8,4.2,4.8,4.085714286
14,0,4.2,0,0.954730821,0.995664258,0.067480414,0.224450078,-0.952889548,-0.089993941,0.21789942,-0.950830768,-7.954869139,-144.9671819,1031.490548,0.059953786,0.146067197,0.003929078,0.203301944,0.191855423,0.233319207,0.088519246,0.098397273,0.052529996,0.110282499,0.528020138,0.27438866,0.704033385,0.134298522,0.488992173,0.085155907,0.180804588,0.613331066,0.379382015,0.165904572,0.100382979,0.12889045,0.555572525,0.760938283,0.166931664,0.017267267,0.018937232,0.457674024,0.193875498,0.633432475,0.065558933,0.279543461,0.06138573,0.29048317,0.221094781,0.230636666,0.209326496,0.139363028,0,0.001972836,0.000367258,4.89E-05,0.001954249,0.000239339,3.76E-05,1592.357761,125.7823839,1797.115,0.010301338,0.005534165,0.016235791,0.125930545,0.247923832,0.052493693,0.057732949,0.055608405,0.02531025,0.039821292,0.188092834,0.254632003,0.23259776,0.064155839,0.207011902,0.033307834,0.071872949,0.450352311,0.175915722,0.089008164,0.083267824,0.11015164,0.092001989,0.169831806,0.136988928,0.016797655,0.018203365,0.158488159,0.152217894,0.155441948,0.060838787,0.19315764,0.056847755,0.115314916,0.16320859,0.166988258,0.091302309,0.118223578,0,13.04904582,18.75526803,3.224226209,0.850954958,0.711484579,563.7631036,590.9866346,92.61322412,46.85787805,27.56821875,141,3.6,4.6,4.6,4.8,4.85,5.4,5.4,3.6,4,4.2,3.8,4.6,4.8,4.6,nan,nan,4.4,3.6,3.4,3.8,3.8,3.6,4.6,3.885714286
14,1,4.2,0,0.960887649,0.998110061,0.069841878,0.148232148,-0.978222626,-0.096283878,0.142717008,-0.976379028,8.502082617,-63.08796898,1045.242944,0.062355169,0.115069004,0.010390079,0.307125232,0.181332193,0.09284203,0.049359213,0.082745966,0.077285175,0.123718916,0.535003504,0.37756527,0.808708933,0.171329678,0.494707278,0.117479535,0.148363235,0.643307902,0.379267951,0.210109318,0.155141683,0.134369138,0.492283654,0.494771568,0.204869896,0.039209213,0.027054437,0.506241714,0.308706421,0.680104859,0.123414804,0.314839832,0.07953527,0.274273774,0.310692185,0.171040277,0.173675673,0.184667002,0,0.004049093,0.000522804,7.61E-05,0.004089205,0.000330655,7.87E-05,3600.243822,208.6325324,3335.998944,0.008250522,0.004421002,0.028875152,0.17508359,0.21464676,0.033905153,0.02090538,0.04406404,0.038570371,0.039965247,0.196778683,0.271723802,0.249024591,0.083227832,0.214336231,0.041767382,0.05714694,0.427376483,0.176167779,0.126008084,0.126774929,0.102722332,0.149952281,0.186583525,0.144830918,0.037004827,0.025616261,0.180524137,0.158061409,0.18836766,0.093101538,0.187689247,0.070320459,0.089845379,0.200348016,0.139252772,0.052033596,0.146495585,0,16.87460648,26.77320646,5.354431346,3.555619137,0.425368898,738.5184477,662.7961493,173.5538338,168.2136942,13.70251637,142,3.6,4.8,4.8,5,4.9,5,5,4.2,4.2,3.6,3.6,4,4.4,4.2,nan,nan,4.8,3,2.4,3.8,3.8,3.8,4.4,3.714285714
15,0,4.2,1,0.959139757,0.995219566,0.120602525,0.229226184,-0.947616743,-0.030708848,0.259019088,-0.944217624,-72.52954641,-171.3811307,1016.71545,0.021627618,0.215405518,-0.181097451,0.151771349,0.121857734,0.215432968,0.035411212,0.089033259,0.0827934,0.123349182,0.808985153,0.849766513,0.213406845,0.12727409,0.526331513,0.084056974,0.267029542,0.495720716,0.543677089,0.133057035,0.08354154,0.117490165,0.606949254,0.641968203,0.126988355,0.070636496,0.00889383,0.760765219,0.693135645,0.413864448,0.130532148,0.314134339,0.089820845,0.33135265,0.277481858,0.250185056,0.037604035,0.161982423,0,0.000924399,0.000454634,8.68E-05,0.000796171,0.000149698,7.21E-05,997.3011436,78.10605041,664.2428734,0.006093529,0.011142102,0.021009807,0.075165648,0.116917694,0.067859809,0.012676671,0.029054344,0.043103024,0.033399278,0.158733425,0.101889572,0.096804648,0.040176906,0.213248028,0.025278412,0.079040972,0.295478884,0.393771559,0.063689696,0.068289914,0.094923744,0.123129001,0.121207843,0.104644315,0.061143764,0.008638361,0.106536561,0.139417184,0.127691253,0.076152537,0.162716014,0.078082937,0.147399884,0.189248918,0.176489576,0.031864046,0.130338604,0,7.757741875,30.72695366,12.19006985,0.155916814,1.989117065,361.4453243,521.0841142,389.6941612,5.496765608,70.32797655,151,3.8,5.2,5.6,5,5.3,5.2,5.4,4.8,4.6,4,4.6,4.8,4.6,4,nan,nan,5.6,3.2,4.2,3.6,4.2,4.6,5.6,4.428571429
15,1,4.2,1,0.960281107,1,0.079358897,0.143447849,-0.979789238,-0.081378223,0.167899571,-0.974813392,-1.117589772,-87.73401308,1053.937595,0.012643207,0.14087689,-0.14379817,0.219489575,0.093167943,0.02568263,0.051373532,0.13542114,0.145229191,0.084422785,0.733481423,0.990895863,0.417197368,0.131618848,0.533533953,0.113208678,0.201482636,0.418698115,0.585404187,0.149544657,0.14196776,0.211006115,0.331962201,0.666370206,0.285158421,0.15241801,0.00233463,0.748638132,0.915063924,0.691606448,0.105058366,0.34196776,0.176431351,0.39188438,0.239577543,0.26770428,0.004224569,0.14930517,0,0.000615877,0.000414737,1.66E-05,0.000765379,0.000302571,1.34E-05,890.2815442,101.6864773,531.8552297,0.005609872,0.015326067,0.03312944,0.139006143,0.074303473,0.013182392,0.017070586,0.035195717,0.046900744,0.024834266,0.169862059,0.120677366,0.162188439,0.048980725,0.189064886,0.043172085,0.073099537,0.236600563,0.462890168,0.063840213,0.108819148,0.1317063,0.153834707,0.144439332,0.177998956,0.125158656,0.002317265,0.12284411,0.06906054,0.157001064,0.084484957,0.164023309,0.13993062,0.116869449,0.174074473,0.185888831,0.004166851,0.124486799,0,13.11680661,25.87173757,10.66811216,0.822968439,0.788297111,609.0166138,394.76688,335.1218076,27.69155308,25.48083777,152,3.8,5.8,5.2,5.4,5.5,6,5.6,5,5.2,5.2,5.4,5.4,5.2,5.2,nan,nan,5.4,3.4,4,4.4,4.4,4.6,5.4,4.514285714
