-------Based on SHORE features 1st minute---------																																																																																				
"['S1_Angry_avg', 'S1_ Happy_avg', 'S1_ MouthOpen_avg', 'S1_ Sad_avg', 'S1_ Score_avg', 'S1_ Surprised_avg', 'S1_Angry_var', 'S1_ Happy_var', 'S1_ MouthOpen_var', 'S1_ Sad_var', 'S1_ Score_var', 'S1_ Surprised_var']"																																																																																				
  	S1_Angry_avg 	S1_ Happy_avg 	S1_ MouthOpen_avg 	S1_ Sad_avg 	S1_ Surprised_avg 	S1_Angry_var 	S1_ Happy_var 	S1_ MouthOpen_var 	S1_ Sad_var 	S1_ Surprised_var 																																																																										
csrsconv 	0	0	0.215185472	0	-0.163396768	0	0.157345689	0	-0.168019422	0																																																																										
csrskill 	-0.474514944	0	0.346462609	0	0	0.583078266	0.221481015	-0.22647202	-0.246449854	0																																																																										
csrscomp 	-0.472219469	0	0.137846144	0.411157887	0	0.617740438	0.193280758	0	-0.587108494	0																																																																										
csrsappr 	0	0	0.087083389	0	0	0	0.160498621	0	0	0																																																																										
csrseffect 	0	0	0	0	-0.165230715	0	0	0.229993104	-0.175229897	0																																																																										
csvoclcn 	-0.464594315	0	0.238419822	0	0	0.567138791	0	0	-0.169413798	0																																																																										
csnoddin 	0	0	0	0	-0.111892512	0	0.132553615	0	-0.215183657	0																																																																										
csgestur 	0	0	0.201432013	-0.149643637	0	0	0	0	0	0																																																																										
cshumor 	-0.49513085	0	0.975483138	-0.230184015	0	0.560850107	0.28185635	-0.824993157	0	0																																																																										
cssmilin 	0	0	0.644608703	0	-0.196474812	0	0.38650283	-0.438928465	-0.188269988	0																																																																										
csquestn 	0	0.162341688	0.616201649	0	-0.175665439	0	0	-0.395763744	0	0																																																																										
csstartn 	-0.290378716	0	0.673422841	0	0	0.402906742	0.3204539	-0.518654232	0	0																																																																										
cspostur 	-0.505422346	0	0	0	-0.118307862	0.397889026	0	0	0	0																																																																										
cseyecon 	-0.560118152	0	0	0	-0.093280105	0.495431416	0	0	0	0																																																																										
Raliked 	-0.393177393	0	0.118454429	0	0	0.558657121	0.224236532	0	0	0																																																																										
Raattrac 	-0.407677466	0	0	0	0	0.553784723	0	0	0	0																																																																										
Rayessin 	-0.381599707	0	0.605203783	0	-0.078399296	0.5411704	0.182683347	-0.560997238	-0.188143687	0																																																																										
Raconect 	-0.435814826	0	0.152291896	0	0	0.666209793	0.242366926	0	-0.154753609	0																																																																										
Racommon 	-0.436278677	0	0	0	0	0.604498623	0.240080568	0	0	0																																																																										
Rasimlar 	-0.405914479	0	0.433832477	-0.01625224	0	0.534762205	0.204818054	-0.398127334	-0.187993224	0																																																																										
Rasmooth 	0	0	0.27479047	0	-0.234313852	0	0.185348531	0	0	0																																																																										
Ra_avg	-0.442510022	0	0.105258923	0	0	0.602473718	0.19779832	0	0	0																																																																										
 																																																																																				
-------Based on SHORE features of middle part---------																																																																																				
"['S2_Angry_avg', 'S2_ Happy_avg', 'S2_ MouthOpen_avg', 'S2_ Sad_avg', 'S2_ Score_avg', 'S2_ Surprised_avg', 'S2_Angry_var', 'S2_ Happy_var', 'S2_ MouthOpen_var', 'S2_ Sad_var', 'S2_ Score_var', 'S2_ Surprised_var']"																																																																																				
  	S2_Angry_avg 	S2_ Happy_avg 	S2_ MouthOpen_avg 	S2_ Sad_avg 	S2_ Surprised_avg 	S2_Angry_var 	S2_ Happy_var 	S2_ MouthOpen_var 	S2_ Sad_var 	S2_ Surprised_var 																																																																										
csrsconv 	0	0	0.180265293	-0.286923896	0	0	0	0	0	0																																																																										
csrskill 	-0.422834982	0	0	-0.34269515	0	0.593097471	0	0.185442291	0	0																																																																										
csrscomp 	0	0	0	-0.286562547	0	0.212433914	0	0.203396311	0	0																																																																										
csrsappr 	0	0	0.090691846	-0.164151472	0	0.109514198	0	0	0	0																																																																										
csrseffect 	0	0	0	-0.270728677	0	0.238947531	0	0.225604594	0	0																																																																										
csvoclcn 	-0.215867704	0	0	0	0	0.391039256	0	0.272939729	-0.230851333	0																																																																										
csnoddin 	0	0	0	0	-0.091004376	0	0	0	-0.251919768	0																																																																										
csgestur 	0	0	0.184346267	-0.230386288	0	0	0	0	0	0																																																																										
cshumor 	0	0	0.254573006	-0.320756932	0	0	0	0	0	0																																																																										
cssmilin 	0	0	0	-0.381931482	-0.262028555	0	0	0.369107535	0.051024705	0																																																																										
csquestn 	-0.386923623	0	0.26363754	0	-0.085577046	0.608323043	0	0	-0.234058026	0																																																																										
csstartn 	-0.349857381	0	0.264824958	-0.234554415	0	0.548378978	0	0	0	0																																																																										
cspostur 	0	0	0	0	0	0	0	0.113709532	-0.184917563	-0.16915162																																																																										
cseyecon 	0	0	0.090867905	0	-0.168055915	0	0	0	-0.200982247	0																																																																										
Raliked 	-0.298485405	0	0.157753533	0	0	0.515370034	0	0	-0.310088932	0																																																																										
Raattrac 	0	0	-0.113270874	-0.171323196	0	0.313161067	0.189185482	0	0	0																																																																										
Rayessin 	0	0	0	0	0	0.360811573	0.23034875	0	-0.291814722	0																																																																										
Raconect 	-0.450830044	0	0	-0.245124811	0	0.766527111	0.306438196	0	0	0																																																																										
Racommon 	0	0	0	-0.297161786	0	0.287676079	0.238675477	0	0	0																																																																										
Rasimlar 	-0.305518241	0	0	0	0	0.59250742	0.240992503	0	-0.257112932	0																																																																										
Rasmooth 	0	0	0	0	0	0	0	0.253300343	-0.267359716	0																																																																										
Ra_avg	-0.288130668	0	0	-0.249587492	0	0.573424267	0.217742076	0	0	0																																																																										
 																																																																																				
-------Based on SHORE features of last minute---------																																																																																				
"['S3_Angry_avg', 'S3_ Happy_avg', 'S3_ MouthOpen_avg', 'S3_ Sad_avg', 'S3_ Score_avg', 'S3_ Surprised_avg', 'S3_Angry_var', 'S3_ Happy_var', 'S3_ MouthOpen_var', 'S3_ Sad_var', 'S3_ Score_var', 'S3_ Surprised_var']"																																																																																				
  	S3_Angry_avg 	S3_ Happy_avg 	S3_ MouthOpen_avg 	S3_ Sad_avg 	S3_ Surprised_avg 	S3_Angry_var 	S3_ Happy_var 	S3_ MouthOpen_var 	S3_ Sad_var 	S3_ Surprised_var 																																																																										
csrsconv 	0	0	0	0	-0.186080821	0	0.117166801	0.262211317	-0.194571154	0																																																																										
csrskill 	0	0	0	0	0	0	0.31188602	0	-0.17073419	0																																																																										
csrscomp 	0	0	0.181545178	0	0	0.256655303	0.335490158	0	0	0																																																																										
csrsappr 	-0.12863024	0	0.098723034	0	0	0.263082044	0.185356157	0	0	0																																																																										
csrseffect 	0	0	0	0	0	0.23464757	0.243638953	0.202473299	0	0																																																																										
csvoclcn 	-0.152460959	0	0	0	0	0.374204012	0.198661035	0.246743945	-0.13065999	0																																																																										
csnoddin 	0	0	0	0	-0.048147855	0.157798465	0.294768222	0	0	0																																																																										
csgestur 	-0.455708679	0	0	-0.229887011	0	0.582876459	0	0.233526141	0	0																																																																										
cshumor 	-0.421430394	0	0	-0.189355016	-0.069994309	0.549513594	0.192021742	0.26157551	0	0																																																																										
cssmilin 	0	0	0	-0.288443495	-0.27544476	0	0.230808948	0.325060658	0	0																																																																										
csquestn 	-0.106721294	0	0.193521289	0	0	0.372224101	0.306077041	0	0	0																																																																										
csstartn 	0	0	0.211273838	0	0	0.232311118	0.260711019	0	-0.157110303	0																																																																										
cspostur 	0	0	0	-0.205328172	0.561395253	0	0	0	0	-0.799057327																																																																										
cseyecon 	0	0	0	-0.159104488	0.525020462	0.108279402	0.258499987	0	0	-0.69788035																																																																										
Raliked 	0	0	0	0	-0.126244149	0.237962813	0.168305554	0.199595505	-0.204944882	0																																																																										
Raattrac 	0	0	0	0	-0.083655417	0.302763394	0.234761026	0	0	0																																																																										
Rayessin 	0	0	0	0	-0.171787856	0.267382228	0.1711892	0.189361777	-0.195487802	0																																																																										
Raconect 	0	0	0.209969139	0	-0.087100793	0.260862485	0.307715355	0	-0.155872974	0																																																																										
Racommon 	0	0	0	0	0	0.234893049	0.327118369	0	0	0																																																																										
Rasimlar 	0	0	0	0	0	0.30027557	0.281112606	0.109455032	-0.163259371	0																																																																										
Rasmooth 	0	0	0.29350282	0	-0.253685543	0	0.176407905	0	-0.198477927	0																																																																										
Ra_avg	0	0	0.135292307	0	-0.094034032	0.2573063	0.25525063	0	-0.16019891	0																																																																										
 																																																																																				
-------Based on SHORE features avg features---------																																																																																				
"['SA_Angry_avg', 'SA_ Happy_avg', 'SA_ MouthOpen_avg', 'SA_ Sad_avg', 'SA_ Score_avg', 'SA_ Surprised_avg', 'SA_Angry_var', 'SA_ Happy_var', 'SA_ MouthOpen_var', 'SA_ Sad_var', 'SA_ Score_var', 'SA_ Surprised_var']"																																																																																				
  	SA_Angry_avg 	SA_ Happy_avg 	SA_ MouthOpen_avg 	SA_ Sad_avg 	SA_ Surprised_avg 	SA_Angry_var 	SA_ Happy_var 	SA_ MouthOpen_var 	SA_ Sad_var 	SA_ Surprised_var 																																																																										
csrsconv 	0	0	0.290446767	-0.235488917	-0.252496744	0	0	0	0	0																																																																										
csrskill 	-0.499644978	0	0	-0.272628289	-0.185403957	0.590603928	0	0.25650801	0	0																																																																										
csrscomp 	0	0	0.261340618	-0.249685803	-0.209696198	0.119084556	0	0	0	0																																																																										
csrsappr 	0	0	0.162661149	0	0	0	0	0	-0.15692609	-0.196171557																																																																										
csrseffect 	0	0	0	-0.250330048	-0.119404883	0.18060169	0	0.264333666	0	0																																																																										
csvoclcn 	0	0	0	-0.287076058	-0.136814027	0.138311255	0	0.306500924	0.093260183	0																																																																										
csnoddin 	0	0	0	-0.241341553	-0.163724715	0	0	0	0	0																																																																										
csgestur 	0	0	0.187001677	-0.214663854	0	0	0	0	0	0																																																																										
cshumor 	0	0	0.333230051	-0.259467715	-0.215745802	0	0	0	0	0																																																																										
cssmilin 	0	0	0	-1.317482417	-0.388268802	0	0	0.399004225	1.016551072	0																																																																										
csquestn 	0	0	0.329748011	0	0	0	0	0	0	-0.277279605																																																																										
csstartn 	0	0	0.365953654	0	0	0	0	0	0	-0.264512688																																																																										
cspostur 	0	0	0.101952024	-0.521255505	0.30067083	0	0	0	0.346990914	-0.557924507																																																																										
cseyecon 	0	0	0.138952758	-0.540273497	0.769528675	0	0	0	0.370835814	-1.061712405																																																																										
Raliked 	-0.27033231	0	0.232769088	-0.563925951	-0.208143824	0.414053653	0	0	0.35658852	0																																																																										
Raattrac 	0	-0.213312374	-0.050064632	0	-0.115247735	0.277839091	0.31685947	0	-0.130785586	0																																																																										
Rayessin 	0	0	0.148202916	-0.243623161	-0.164843008	0.280598005	0.156671765	0	0	0																																																																										
Raconect 	0	0	0.191962607	-0.182117699	0	0.365917636	0.345000367	0	0	0																																																																										
Racommon 	0	0	0.158018973	-0.232150391	0	0.302847006	0.234862294	0	0	0																																																																										
Rasimlar 	0	0	0	-0.23829465	0	0.270992017	0.245769653	0	0	0																																																																										
Rasmooth 	0	0	0.388241708	0	-0.334536347	0	0	0	0	0																																																																										
Ra_avg	0	0	0.116061022	-0.203134204	0	0.316347043	0.254776747	0	0	0																																																																										
 																																																																																				
-------Openface AU features of 1st minute---------																																																																																				
